,0,1,2,3,4
0,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/21,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/21,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/21,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/21,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/22
1,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/22,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/22,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/22,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/22,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/23
2,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/23,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/23,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/23,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/23,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/24
3,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/24,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/24,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/24,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/24,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/25
4,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/25,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/25,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/25,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/25,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/26
5,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/28,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/26,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/26,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/28,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/28
6,,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST 2022/03/28,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST 2022/03/28,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/21,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/26
7,,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/26,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/21,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/22,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/23
8,,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/26,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/21,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/23,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/24
9,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/22,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/22,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/24,
10,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/24,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/25,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/25,
11,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/25,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/28,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/26,
12,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/26,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/21,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/28,
13,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/21,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/22,,
14,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/22,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/23,,
15,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/23,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/24,,
16,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/24,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/25,,
17,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/25,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/26,,
18,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/26,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/28,,
19,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/28,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/21,,
20,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/22,,
21,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/23,,
22,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/24,,
23,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/25,,
24,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/26,,
25,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/28,,
26,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/21,,
27,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/23,,
28,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/28,,
29,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/21,,
30,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/22,,
31,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/23,,
32,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/24,,
33,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/25,,
34,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/26,,
35,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/28,,
