sourceelementkey,parkingspacecount
1013,4
1021,9
1022,9
1037,12
1277,9
1278,11
1281,4
1601,8
1617,6
2085,5
2793,9
2797,4
2798,3
3081,3
3082,4
3337,7
3338,9
3341,4
3342,4
4445,2
4581,8
4582,7
5802,8
6357,2
6358,5
7250,8
7257,11
7258,13
7261,10
7262,7
7273,4
7274,3
7277,8
7278,10
7398,5
7997,5
8001,10
8013,3
8018,10
8097,8
8098,5
8101,4
8102,8
8249,2
8301,5
8302,6
8305,7
8306,8
8369,3
8389,6
8541,3
8542,5
9109,3
9110,4
9114,4
9141,15
9142,11
9277,6
9278,5
9349,2
9353,15
9354,4
9357,5
9509,3
9697,11
9702,5
9769,3
9770,4
10877,7
11018,13
11118,16
11129,8
11130,10
11398,8
11665,9
11674,5
11717,4
11718,8
11770,9
11869,5
11870,4
12046,4
12282,13
12285,6
12401,4
12402,2
12601,8
12673,7
12874,8
13045,9
13046,6
13061,10
13062,3
13189,2
13190,3
13209,3
13210,5
13213,12
13214,9
13301,5
13302,7
13305,8
13306,3
13309,9
13313,3
13445,12
13517,11
13545,7
13546,7
16941,7
16942,6
18621,11
18622,17
19482,10
19485,10
19486,4
20185,5
20186,2
20845,4
20846,3
23622,4
23877,3
23878,4
23881,6
23937,9
23938,8
24037,13
24038,12
24058,3
24265,10
24266,10
24585,11
24606,6
25706,8
25709,2
25710,7
25817,10
25818,6
27429,6
28581,9
30698,8
30701,2
30702,4
30970,6
31058,6
31490,11
31493,13
31494,8
31498,1
31582,4
31850,12
31853,39
31854,14
32017,6
32018,6
32022,4
32026,2
32030,5
32258,3
32262,3
32289,19
32290,1
32297,4
32466,6
33990,4
34218,5
34306,5
34837,4
34838,1
34845,2
35021,7
35022,5
35333,2
35337,2
35341,4
35342,4
35345,5
35417,4
35421,3
35422,6
35438,4
35681,14
35682,19
35794,4
35798,5
35837,14
35838,12
35841,6
35842,5
35845,14
35846,12
35849,6
35850,21
35909,3
36010,15
36013,1
36014,2
36137,7
36138,8
36357,16
36358,24
36490,11
36493,10
36494,9
36813,4
36814,5
39293,5
39333,8
39334,7
39337,4
39338,5
39377,4
39378,4
39485,2
39486,6
41030,18
41721,4
41725,11
41726,18
42961,5
42962,2
43057,6
43058,5
43118,6
43121,9
43197,4
43910,7
43913,8
43913,7
43914,7
43941,4
43942,5
43945,2
43946,5
45825,8
45826,5
45973,7
45974,5
46082,9
46254,10
46258,8
46457,8
46458,5
47213,9
47225,6
48077,9
48078,9
48081,4
48213,5
48214,7
48449,8
48450,9
48770,6
49649,10
49650,6
49653,4
49654,12
49813,4
51473,6
51485,6
51489,7
51490,12
52521,7
52522,7
53145,4
53146,7
53237,4
53238,8
53238,7
53241,4
53242,5
53422,9
53429,4
53430,6
53797,11
54513,8
54514,5
54606,5
54722,7
54765,18
54766,16
55026,5
55029,10
55030,3
55473,9
55474,6
56653,11
56654,15
56682,8
56686,9
56690,5
57017,8
57018,6
57077,14
57190,5
57513,3
57914,8
58077,5
58078,3
58081,11
58177,4
58193,4
58222,4
58393,7
58474,4
58493,6
58494,7
58498,2
58501,3
58513,7
58514,7
58569,5
58629,3
58805,8
58806,6
58809,12
58810,10
59166,3
62437,4
62438,5
63125,33
63126,31
63130,8
64317,8
64318,9
64322,6
65041,10
65042,16
65813,6
65813,4
65814,5
65817,20
65818,7
66613,7
66614,3
66617,4
66618,3
66622,2
68549,4
68550,5
68553,5
68554,5
68829,6
69133,2
69134,4
69485,6
69489,17
70501,18
70742,4
70746,7
70750,9
70762,11
70897,7
70898,8
70901,11
70902,15
71289,7
71290,4
71574,8
72482,2
74026,6
74029,9
74030,4
74042,10
74149,11
74150,8
75149,4
75169,12
75170,10
75201,2
75202,6
75282,5
75769,20
75865,10
75866,6
76033,8
76042,7
76101,4
76102,8
76105,5
76106,5
76193,6
76357,7
76357,6
76358,6
76406,8
76410,3
76417,5
76621,16
76622,7
76710,1
77118,2
77121,8
77217,5
77218,15
77221,6
77225,7
77389,14
77390,7
77393,8
77557,3
77562,11
77609,5
77610,4
79354,6
79358,8
79362,3
79570,7
79574,11
79649,6
79653,7
79654,9
79657,4
79658,8
79674,4
79677,4
79678,4
79681,6
79882,4
80274,11
80277,8
80537,6
80538,8
80541,8
80542,10
80594,10
80598,8
80641,7
80645,9
80650,5
80657,9
80658,15
80742,9
80837,7
80882,7
81070,7
81073,2
81074,3
81194,6
81209,5
81210,7
81421,10
81422,8
81482,5
84641,7
84653,6
84654,4
84689,5
84690,6
84789,7
84790,5
85134,10
85149,6
85150,9
86449,12
86450,13
87253,3
87254,1
87257,8
87258,6
87281,8
87282,4
87285,5
87286,8
88546,1
88633,9
88634,8
88634,7
88773,12
88774,8
91546,6
91550,2
91725,9
91726,2
91826,1
91829,4
91893,7
91894,7
91897,2
91898,1
117879,5
117932,4
119444,5
120403,3
121921,6
123744,4
123942,5
123943,10
131238,2
136322,7
